InvoiceDate,Total_Weekly_Sales,Transaction_Count,Customer_Count,Quantity_Sold,Unique_Products_Sold,Avg_Order_Value,Avg_Quantity_Per_Transaction
12/6/2010,179637.3,9442,373,99345,1812,19.02534421,10.52160559
12/13/2010,209188.14,8740,384,100053,1770,23.93456979,11.44771167
12/20/2010,155136.84,6541,317,94294,1705,23.71760281,14.41583856
12/27/2010,26460.45,947,49,17356,652,27.94134108,18.32734952
1/3/2011,0,0,0,0,0,,
1/10/2011,129967.63,5980,231,79480,1521,21.73371739,13.2909699
1/17/2011,155541.07,4800,219,76140,1430,32.40438958,15.8625
1/24/2011,176527.05,4433,184,132126,1407,39.82112565,29.80509813
1/31/2011,106065.56,5775,250,60727,1500,18.36633074,10.51549784
2/7/2011,110532.35,4979,232,61187,1414,22.19970878,12.28901386
2/14/2011,87444.36,3526,183,51212,1292,24.79987521,14.52410664
2/21/2011,135425.14,5438,235,84762,1487,24.9034829,15.58698051
2/28/2011,112683.07,5763,259,67866,1501,19.55284921,11.77615825
3/7/2011,122607.99,5671,243,68337,1534,21.62017105,12.05025569
3/14/2011,117812.41,5328,223,69201,1407,22.11193881,12.98817568
3/21/2011,127823.59,5855,273,75916,1525,21.8315269,12.96601196
3/28/2011,133502.29,6709,275,74960,1591,19.89898495,11.17305113
4/4/2011,152693.92,6306,272,95954,1527,24.21406914,15.21630193
4/11/2011,110879.42,6082,274,64251,1574,18.23074975,10.56412364
4/18/2011,158422.491,6661,301,97279,1532,23.7835897,14.60426362
4/25/2011,72298.03,3457,169,47828,1155,20.9135175,13.83511715
5/2/2011,73374.06,3680,171,49036,1309,19.93860326,13.325
5/9/2011,152702.28,7116,347,85266,1530,21.45900506,11.98229342
5/16/2011,192672.86,7522,302,105061,1543,25.61457857,13.96716299
5/23/2011,191344.62,7695,349,106102,1633,24.86609747,13.78843405
5/30/2011,115544.08,4400,212,62053,1269,26.26001818,14.10295455
6/6/2011,118309.4,5809,260,63599,1481,20.36656912,10.948356
6/13/2011,197131.75,7133,325,93561,1684,27.63658349,13.11664096
6/20/2011,178116.77,6688,284,103301,1576,26.63229217,15.44572368
6/27/2011,99871.43,5673,246,64337,1578,17.60469417,11.3409131
7/4/2011,133810.44,4832,211,71364,1433,27.69255795,14.76903974
7/11/2011,120289.98,5912,277,81528,1597,20.34674899,13.7902571
7/18/2011,120071.53,6364,263,73706,1701,18.86730515,11.58170962
7/25/2011,164959.36,6834,289,103439,1580,24.13803922,15.13593796
8/1/2011,164359.611,6148,263,97363,1650,26.73383393,15.83653221
8/8/2011,155908.86,6517,270,100206,1617,23.92340954,15.37609329
8/15/2011,141036.59,5170,232,88985,1447,27.27980464,17.21179884
8/22/2011,180015.71,6933,289,103536,1708,25.96505265,14.93379489
8/29/2011,117978.7,6041,249,77641,1614,19.52966396,12.85234233
9/5/2011,149265.88,6274,281,92103,1708,23.79118266,14.68010838
9/12/2011,158549.91,8062,324,97379,1763,19.66632473,12.07876457
9/19/2011,227529.73,8465,299,128374,1753,26.87888128,15.16526875
9/26/2011,291768.802,10863,386,149411,1971,26.85895259,13.75411949
10/3/2011,226531.99,10267,360,125009,1937,22.06408785,12.17580598
10/10/2011,277033.97,12555,419,165272,2021,22.06562883,13.16383911
10/17/2011,207614.8,10178,355,116491,1983,20.39838868,11.44537237
10/24/2011,246804.81,10900,356,140708,2056,22.64264312,12.90899083
10/31/2011,230565.82,12034,425,136197,2042,19.15953299,11.31768323
11/7/2011,254969.88,12813,452,149416,2054,19.89931164,11.66128151
11/14/2011,293709.82,15390,526,171929,2153,19.08445874,11.17147498
11/21/2011,262823.77,15163,562,149193,2090,17.33323023,9.839279826
11/28/2011,254664.78,15053,498,145076,2183,16.91787551,9.637680197
12/5/2011,257281.92,14028,529,150311,2100,18.3405988,10.71506986
12/12/2011,349945.88,7747,322,186775,1794,45.17179295,24.10933264
